bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
geoffroy didier vous parliez du front national le front national vous a répondu c' est steeve briois qui est le secrétaire national du front national qui explique que le droite forte c' est l' arnaque de l' été en fait c' est une pitoyable resucée de la droite populaire	crois didier vous parliez du front national le front national vous a répondu ces steeve briois qui est le secrétaire général du front national qui explique la droite forte c' est l' arnaque de l' été en fait c' est une pitoyable reçu ces de la droite populaire	_
mais vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	_
nous on parle aux français on parle aux électeurs on parle au coeur du peuple militant et justement	on parle aux français par zola je parle aux électeurs on parle au coeur du peuple militant et justement	_
nous reprochons à certains à l' ump d' avoir trop parlé du front national mais voila que depuis hier c' est à dire depuis la création de notre mouvement avec guillaume c' est le front national qui parle de l' ump comme quoi il y a eu une bonne évolution dans le bon sens	reprochons à certains à l' ump d' avoir trop parlé du front national mais voilà que depuis hier c' est à dire depuis la création de notre mouvement avec guillaume c' est le front national qui parle de l' ump comme quoi il y a une bonne évolution dans le bon sens	_
et alors cette idée que vous seriez une resucée de la droite populaire	alors cette idée que vous seriez une reçu c' est la droite populaire	_
non mais c' est la encore pourquoi ces vieux réflexes de se comparer à tel et tel nous on est pas là pour et (n) 	mais c' est encore assez vieux réflexe de coups se comparer à ce que vous allez vous lui demandez pas la question que la réponse	_
et (n) qu' il la cherche lui même nous ce qui nous intéresse	parce qu' ils la cherchent lui même nous qui nous intéresse	_
c' est pas de se comparer à tel ou tel c' est de dire voilà	est pas se comparer à tel ou tel c' est de dire voilà	_
nous sommes une génération de trentenaires nous avons été fiers d' accompagner nicolas sarkozy contrairement parfois à certains de nos aînés et nous	sommes une génération de trentenaires nous avons été fier d' accompagner nicolas sarkozy contrairement parfois à certains de nos aînés et nous	_
regardons devant et pour demain pour reconstruire la droite autour des valeurs qui sont les nôtres comme le patriotisme la réforme de la justice l' interdiction je vous donne une piste de réflexion là l' interdiction de la syndicalisation par exemple des juges et des magistrats qui selon nous n' est pas normal dans notre pays	regardons devant et pour demain pour reconstruire la droite autour des valeurs qui sont les nôtres comme le patriotisme la réforme de la justice l' interdiction je vous donne une piste de réflexion l' interdiction de la syndicalisation par exemple des juges et des magistrats qui selon nous n' est pas normal dans notre pays	_
combien de troupes	combien de troupes	_
vous le verrez en septembre	vous le verrez en septembre	_
en septembre	septembre	_
vous savez lorsqu' on avance avec humilité lorsque l' on a un objectif c' est celui de parler vraiment au coeur du peuple militant moi j' imagine qu' il y a beaucoup de d' élus qui ont cette valeur en partage et qui nous rejoindrons	peux vous avez lorsqu' on avance avec humilité lorsque on a un objectif c' est celui de parler vraiment au coeur du peuple militant moi j' imagine qu' il y a beaucoup d' élus qui ont cette valeur en partage et qui nous rejoindrons	_
pendant que la droite l' ump se se se parle à elle même si j' ose dire	que la droite l' ump se se se parle à elle même si j' ose dire	_
puisque y a cette présidence ce congrès alors est ce que les les	c' est le président sur le congrès les élus	_
français vont pas être un peu orphelins de	ne vont pas être un peu orphelins de	_
de d' un simplement d' un discours de l' opposition parce que aujourd' hui y a beaucoup de questions qui se posent la crise les destructions d' emplois en france et on entend beaucoup les les responsables de l' ump se se parler entre eux soit en se critiquant soit en se soutenant	d' un simplement d' un discours de l' opposition parce que aujourd' hui il y a beaucoup de questions qui se pose la crise les destructions d' emplois en france et on entend beaucoup les les responsables de l' ump se se parler entre eux soit en se critiquant soit on se soutenant	_
vous savez on on est plus on sera plus fort demain si on est capable justement d' être très clair sur les valeurs	savez on on est plus on sera plus fort demain si on est capable justement d' être très clair sur les valeurs	_
qu' on veut voir portées regardez ce qui avait été le cas au sein du parti socialiste au moment des des primaires nous on a plein de choses à dire sur la dette sur l' europe on vient de l' évoquer sur la question de de peugeot avec le	on veut voir porter regardez ce qui avait été le cas au sein du parti socialiste au moment des des primaires nous on a plein de choses à dire sur la dette sur l' europe on vient de l' évoquer sur la question de de peugeot avec	_
patriotisme industriel	patriotique	_
avec regardez on ira beaucoup plus loin que nos aînés nous nous souhaitons voir la suppression des trente cinq heures mais véritablement nous souhaitons par exemple la refonte complète nous souhaitons la refonte complète du code du travail parce que on ne peut pas continuer comme avant et c' est ça qu' on va proposer aux français	regardez pour nous on a beaucoup plus loin que nos aînés nous souhaitons bravent la suppression des trente cinq heures b véritablement nous souhaitons par exemple un rocher sarkozy n' ont jamais voulu nous souhaitons la refonte complète du code du travail parce que on ne peut pas continuer comme avant et c' est ça quoi proposer aux français	_
et quand vous voyez la refiscalisation des heures supplémentaires quand vous voyez que la gauche s' apprête	quand vous voyez la refiscalisation des heures supplémentaires quand vous voyez que la gauche s' apprêtent	_
à à enlever à abroger les peines plancher on se dit qu' il y a un vrai clivage idéologique entre la droite et la gauche eh plutôt que d' ergoter sur le passé ou plutôt que de se replier sur nous mêmes et bien nous avons des valeurs nous avons des différences entre la droite et la gauche	a l' a enlevé abroger les peines planchers on se dit qu' il y a un vrai clivage idéologique aujourd' hui entre la droite et la gauche plutôt que d' air goûter sur le passé ou plutôt que de se replier sur nous mêmes eh bien nous avons des valeurs nous avons des différences entre la droite et la gauche	_
et ces différences nous allons les promouvoir à l' avenir	ces différences nous allons les promouvoir l' avenir	_
et tous deux vous êtes membres de l' association les amis de nicolas sarkozy	tous deux vous êtes membre de l' association des amis de nicolas sarkozy	_
oui mais l' association des amis de nicolas sarkozy qui est non mais attendez l' association	mais de l' association des maires de nicolas sarkozy qui se pose une question	_
des amis de nicolas sarkozy qui est dirigé par brice hortefeux c' est une association qui n' est pas une démarche politique mais qui est une démarche affective	les amis de nicolas sarkozy qui est dirigé par brice hortefeux c' est une association qui n' est pas une démarche politique mais qui ne tikhon et qui est une démarche affective	_
nous sommes dans une démarche idéologique au sein de la droite forte pour incarner pour construire la droite de demain	sommes dans une démarche idéologique au sein de la droite forte pour incarner pour construire la droite de demain	_
mais la question ce n' est pas la personne de nicolas sarkozy en revanche le sarkozysme c' est à dire les valeurs qu' il a incarnées qu' il a véhiculées dans la campagne ça c' est notre adn c' c' est à dire que c' est notre marque de fabrique et pour nous c' est notre socle pour l' avenir	la question que je n' ai pas la personne de nicolas sarkozy en revanche le sarkozysme c' est à dire les valeurs qu' il a incarné qui l' a véhiculée pendant la campagne ça c' est notre adn c' est c' est à dire que c' est notre marque de fabrique est pour nous c' est notre socle pour l' avenir	_
donc on parle des idées je vais malheureusement parler encore des hommes souhaitez vous	on parle des idées je vais malheureusement parler encore des hommes souhaité	_
